polarity,tweet,brand_name
0.25,RT weareoneEXO EXO KAI to feature on ltEsquiregt cover of March issueKAI x Gucci Capsule Collection to be revealed for the first time Th,Gucci
0.507936508,RT weareoneEXO KAI to have a special photoshoot with MonoTube Magazine An exceptional set with more than 50 shotsKAI X Gucci collect,Gucci
0.125,RT weareoneEXO Global ambassador KAI the hero of Guccis 100th anniversary capsule collection The first Korean artist to come out wi,Gucci
0.136363636,New arrivals gucci prada My Girlfriends Wardrobe,Gucci
0,RT wantedinrome Romes Spanish Steps area is sealed off today as LadyGaga and Al Pacino film scenes for Ridley Scotts GUCCI movie on,Gucci
0,Gucci off i go alwaysstylish PundiX,Gucci
0.140625,RT saintsupcloset 20210319 Saintsup for PR Econ SWUECONSWUxSaintHave a big enough heart to love unconditionally and a broad en,Gucci
0,RT wantedinrome Romes Spanish Steps area is sealed off today as LadyGaga and Al Pacino film scenes for Ridley Scotts GUCCI movie on,Gucci
0,RT wantedinrome Romes Spanish Steps area is sealed off today as LadyGaga and Al Pacino film scenes for Ridley Scotts GUCCI movie on,Gucci
0.4,gucci almost doubled their sales in 2018 Creative director Alessandro Micheles success has proven the importan,Gucci
0,RT wantedinrome Romes Spanish Steps area is sealed off today as LadyGaga and Al Pacino film scenes for Ridley Scotts GUCCI movie on,Gucci
0,RT wantedinrome Romes Spanish Steps area is sealed off today as LadyGaga and Al Pacino film scenes for Ridley Scotts GUCCI movie on,Gucci
0,RT wantedinrome Romes Spanish Steps area is sealed off today as LadyGaga and Al Pacino film scenes for Ridley Scotts GUCCI movie on,Gucci
0.65,So good I had to share Check out all the items Im loving on Poshmarkapp poshmark fashion style shopmycloset,Gucci
0.507936508,RT weareoneEXO KAI to have a special photoshoot with MonoTube Magazine An exceptional set with more than 50 shotsKAI X Gucci collect,Gucci
0.25,RT weareoneEXO EXO KAI to feature on ltEsquiregt cover of March issueKAI x Gucci Capsule Collection to be revealed for the first time Th,Gucci
