TweetID,tweet,brand_name
138,So good I had to share Check out all the items Im loving on Poshmarkapp poshmark fashion style shopmycloset,Gucci
139,RT ThePerezHilton Yes this is actually an advertisement for Gucci starring HarryStyles and JamesCorden A bit odd U like it https,Gucci
140,Yes this is actually an advertisement for Gucci starring HarryStyles and JamesCorden A bit odd U like it,Gucci
141,RT inpitarbth your boyGucci GucciAria AlessandroMicheleinnsarin inpitar,Gucci
142,Glamorous opulent and mysterious Rich and intense the composition of the gucci OUD contains essence of oud from,Gucci
143,RT kiimyoungdae KimYoungdae and HanJihyun for wkorea gucci,Gucci
144,RT TREASUREWRDR HYUNSUK wearingGUCCI Roundframe sunglasses 408 gift from choihyunsukbar CHOIHYUNSUK TREASURE TREASU,Gucci
145,THE DEVIL WEARS KAI TheDevilWearsKAI 2KAI 2 EXO GUCCI gucciweareoneEXO,Gucci
146,THE DEVIL WEARS KAI TheDevilWearsKAI 2KAI 2 EXO GUCCI gucciweareoneEXO,Gucci
147,THE DEVIL WEARS KAI TheDevilWearsKAI 2KAI 2 EXO weareoneEXO GUCCI gucci,Gucci
148,RT exolL1485 Gucci in sg literally everything except the shoes were sold out in 2hrs so i went home empty handed KAIxGucci kai,Gucci
149,RT weareoneEXO KAI to have a special photoshoot with MonoTube Magazine An exceptional set with more than 50 shotsKAI X Gucci collect,Gucci
150,RT weareoneEXO EXO KAI to feature on ltEsquiregt cover of March issueKAI x Gucci Capsule Collection to be revealed for the first time Th,Gucci
151,THE DEVIL WEARS KAI TheDevilWearsKAI 2KAI 2 EXO gucciweareoneEXO gucci,Gucci
152,RT SaraGar21944353 Veo a harry vestido de gucci automaticamente me acuerdo de esta cancionThe way that Gucci look on you amazing But,Gucci
153,RT marylou1se The fact is that in Japan only Dakota is GucciBeloved gucci Japan DakotaJohnson,Gucci
154,The fact is that in Japan only Dakota is GucciBeloved gucci Japan DakotaJohnson,Gucci
155,RT guccidog2020 Good morning world hope everyone has a blessed weekend zshq zombiebullz theruffriderz dogs dogsoftwitter TE,Gucci
156,RT kiimyoungdae KimYoungdae and HanJihyun for wkorea gucci,Gucci
157,RT CloutNewsMedia DakotaJohnson Wears Sheer Gucci Jumpsuit With A Pink Sequined CardiganGucci Fashion Lifestyle NewProduct LateNi,Gucci
158,RT SaraGar21944353 Veo a harry vestido de gucci automaticamente me acuerdo de esta cancionThe way that Gucci look on you amazing But,Gucci
159,RT kiimyoungdae KimYoungdae and HanJihyun for wkorea gucci,Gucci
160,KimYoungdae and HanJihyun for wkorea gucci,Gucci
